group,variable,value
Albania,21/05/2020,5
Albania,22/05/2020,12
Albania,23/05/2020,8
Albania,24/05/2020,9
Albania,25/05/2020,6
Albania,26/05/2020,25
Albania,27/05/2020,21
Albania,28/05/2020,26
Albania,29/05/2020,23
Albania,30/05/2020,23
Albania,31/05/2020,15
Albania,01/06/2020,6
Albania,02/06/2020,21
Albania,03/06/2020,20
Albania,04/06/2020,13
Albania,05/06/2020,15
Albania,06/06/2020,20
Albania,07/06/2020,14
Albania,08/06/2020,17
Albania,09/06/2020,36
Albania,10/06/2020,42
Albania,11/06/2020,44
Albania,12/06/2020,31
Albania,13/06/2020,48
Albania,14/06/2020,57
Albania,15/06/2020,69
Albania,16/06/2020,82
Albania,17/06/2020,50
Albania,18/06/2020,66
Albania,19/06/2020,50
Albania,20/06/2020,53
Albania,21/06/2020,71
Albania,22/06/2020,33
Albania,23/06/2020,52
Albania,24/06/2020,67
Albania,25/06/2020,78
Albania,26/06/2020,77
Albania,27/06/2020,61
Albania,28/06/2020,72
Albania,29/06/2020,64
Albania,30/06/2020,69
Albania,01/07/2020,45
Albania,02/07/2020,82
Albania,03/07/2020,90
Albania,04/07/2020,67
Albania,05/07/2020,74
Albania,06/07/2020,71
Albania,07/07/2020,74
Albania,08/07/2020,68
Albania,09/07/2020,82
Albania,10/07/2020,90
Albania,11/07/2020,93
Albania,12/07/2020,83
Albania,13/07/2020,117
Albania,14/07/2020,96
Albania,15/07/2020,85
Albania,16/07/2020,99
Albania,17/07/2020,55
Albania,18/07/2020,102
Albania,19/07/2020,82
Albania,20/07/2020,81
Albania,21/07/2020,119
Albania,22/07/2020,68
Albania,23/07/2020,108
Albania,24/07/2020,104
Albania,25/07/2020,67
Albania,26/07/2020,126
Albania,27/07/2020,117
Albania,28/07/2020,117
Albania,29/07/2020,108
Albania,30/07/2020,92
Albania,31/07/2020,79
Albania,01/08/2020,120
Albania,02/08/2020,123
Albania,03/08/2020,101
Albania,04/08/2020,130
Albania,05/08/2020,139
Albania,06/08/2020,127
Albania,07/08/2020,135
Albania,08/08/2020,124
Albania,09/08/2020,136
Albania,10/08/2020,125
Albania,11/08/2020,140
Albania,12/08/2020,141
Albania,13/08/2020,154
Albania,14/08/2020,146
Albania,15/08/2020,143
Albania,16/08/2020,120
Albania,17/08/2020,119
Albania,18/08/2020,155
Albania,19/08/2020,158
Albania,20/08/2020,155
Albania,21/08/2020,152
Albania,22/08/2020,156
Albania,23/08/2020,152
Albania,24/08/2020,178
Albania,25/08/2020,154
Albania,26/08/2020,168
Albania,27/08/2020,156
Albania,28/08/2020,112
Albania,29/08/2020,84
Albania,30/08/2020,101
Albania,31/08/2020,133
Albania,01/09/2020,93
Albania,02/09/2020,122
Albania,03/09/2020,116
Albania,04/09/2020,123
Albania,05/09/2020,135
Albania,06/09/2020,153
Albania,07/09/2020,151
Albania,08/09/2020,147
Albania,09/09/2020,151
Albania,10/09/2020,156
Albania,11/09/2020,161
Albania,12/09/2020,164
Albania,13/09/2020,168
Albania,14/09/2020,167
Albania,15/09/2020,152
Albania,16/09/2020,144
Albania,17/09/2020,132
Albania,18/09/2020,125
Albania,19/09/2020,153
Albania,20/09/2020,159
Albania,21/09/2020,150
Albania,22/09/2020,131
Albania,23/09/2020,121
Albania,24/09/2020,134
China,22/01/2020,548
China,23/01/2020,95
China,24/01/2020,277
China,25/01/2020,486
China,26/01/2020,669
China,27/01/2020,802
China,28/01/2020,2632
China,29/01/2020,578
China,30/01/2020,2054
China,31/01/2020,1661
China,01/02/2020,2089
China,02/02/2020,4739
China,03/02/2020,3086
China,04/02/2020,3991
China,05/02/2020,3733
China,06/02/2020,3147
China,07/02/2020,3523
China,08/02/2020,2704
China,09/02/2020,3015
China,10/02/2020,2525
China,11/02/2020,2032
China,12/02/2020,373
China,13/02/2020,15136
China,14/02/2020,6463
China,15/02/2020,2055
China,16/02/2020,2100
China,17/02/2020,1921
China,18/02/2020,1777
China,19/02/2020,408
China,20/02/2020,458
China,21/02/2020,473
China,22/02/2020,1451
China,23/02/2020,21
China,24/02/2020,219
China,25/02/2020,513
China,26/02/2020,412
China,27/02/2020,434
China,28/02/2020,328
China,29/02/2020,428
China,01/03/2020,576
China,02/03/2020,204
China,03/03/2020,125
China,04/03/2020,125
China,05/03/2020,151
China,06/03/2020,153
China,07/03/2020,80
China,08/03/2020,53
China,09/03/2020,37
China,10/03/2020,27
China,11/03/2020,34
China,12/03/2020,11
China,13/03/2020,13
China,14/03/2020,32
China,15/03/2020,26
China,16/03/2020,30
China,17/03/2020,25
China,18/03/2020,44
China,19/03/2020,54
China,20/03/2020,94
China,21/03/2020,55
China,22/03/2020,130
China,23/03/2020,63
China,24/03/2020,93
China,25/03/2020,70
China,26/03/2020,121
China,27/03/2020,115
China,28/03/2020,102
China,29/03/2020,123
China,30/03/2020,76
China,31/03/2020,81
China,01/04/2020,82
China,02/04/2020,71
China,03/04/2020,79
China,04/04/2020,32
China,05/04/2020,59
China,06/04/2020,63
China,07/04/2020,53
China,08/04/2020,91
China,09/04/2020,74
China,10/04/2020,58
China,11/04/2020,73
China,12/04/2020,120
China,13/04/2020,79
China,14/04/2020,93
China,15/04/2020,50
China,16/04/2020,47
China,17/04/2020,357
China,18/04/2020,27
China,19/04/2020,18
China,20/04/2020,12
China,21/04/2020,36
China,22/04/2020,15
China,23/04/2020,16
China,24/04/2020,15
China,25/04/2020,10
China,26/04/2020,3
China,27/04/2020,6
China,28/04/2020,22
China,29/04/2020,4
China,30/04/2020,12
China,01/05/2020,3
China,02/05/2020,0
China,03/05/2020,5
China,04/05/2020,2
China,05/05/2020,2
China,06/05/2020,2
China,07/05/2020,5
China,08/05/2020,1
China,09/05/2020,14
China,10/05/2020,20
China,11/05/2020,1
China,12/05/2020,7
China,13/05/2020,6
China,14/05/2020,5
China,15/05/2020,9
China,16/05/2020,6
China,17/05/2020,10
China,18/05/2020,9
China,19/05/2020,0
China,20/05/2020,0
China,21/05/2020,0
China,22/05/2020,18
China,23/05/2020,3
China,24/05/2020,11
China,25/05/2020,7
China,26/05/2020,1
China,27/05/2020,3
China,28/05/2020,0
China,29/05/2020,17
China,30/05/2020,5
China,31/05/2020,18
China,01/06/2020,8
China,02/06/2020,7
China,03/06/2020,1
China,04/06/2020,11
China,05/06/2020,6
China,06/06/2020,9
China,07/06/2020,5
China,08/06/2020,4
China,09/06/2020,3
China,10/06/2020,11
China,11/06/2020,7
China,12/06/2020,12
China,13/06/2020,58
China,14/06/2020,49
China,15/06/2020,43
China,16/06/2020,44
China,17/06/2020,36
China,18/06/2020,36
China,19/06/2020,0
China,20/06/2020,59
China,21/06/2020,19
China,22/06/2020,52
China,23/06/2020,29
China,24/06/2020,20
China,25/06/2020,28
China,26/06/2020,24
China,27/06/2020,18
China,28/06/2020,14
China,29/06/2020,23
China,30/06/2020,5
China,01/07/2020,31
China,02/07/2020,14
China,03/07/2020,8
China,04/07/2020,19
China,05/07/2020,14
China,06/07/2020,18
China,07/07/2020,28
China,08/07/2020,33
China,09/07/2020,42
China,10/07/2020,0
China,11/07/2020,79
China,12/07/2020,46
China,13/07/2020,0
China,14/07/2020,109
China,15/07/2020,20
China,16/07/2020,81
China,17/07/2020,75
China,18/07/2020,16
China,19/07/2020,85
China,20/07/2020,119
China,21/07/2020,86
China,22/07/2020,198
China,23/07/2020,139
China,24/07/2020,157
China,25/07/2020,179
China,26/07/2020,189
China,27/07/2020,213
China,28/07/2020,207
China,29/07/2020,223
China,30/07/2020,276
China,31/07/2020,166
China,01/08/2020,172
China,02/08/2020,158
China,03/08/2020,114
China,04/08/2020,107
China,05/08/2020,122
China,06/08/2020,132
China,07/08/2020,120
China,08/08/2020,92
China,09/08/2020,121
China,10/08/2020,113
China,11/08/2020,52
China,12/08/2020,87
China,13/08/2020,99
China,14/08/2020,70
China,15/08/2020,65
China,16/08/2020,96
China,17/08/2020,66
China,18/08/2020,53
China,19/08/2020,33
China,20/08/2020,40
China,21/08/2020,49
China,22/08/2020,38
China,23/08/2020,41
China,24/08/2020,23
China,25/08/2020,34
China,26/08/2020,32
China,27/08/2020,30
China,28/08/2020,22
China,29/08/2020,27
China,30/08/2020,32
China,31/08/2020,19
China,01/09/2020,19
China,02/09/2020,20
China,03/09/2020,33
China,04/09/2020,22
China,05/09/2020,17
China,06/09/2020,33
China,07/09/2020,20
China,08/09/2020,9
China,09/09/2020,13
China,10/09/2020,27
China,11/09/2020,18
China,12/09/2020,23
China,13/09/2020,29
China,14/09/2020,22
China,15/09/2020,16
China,16/09/2020,18
China,17/09/2020,41
China,18/09/2020,17
China,19/09/2020,23
China,20/09/2020,35
China,21/09/2020,12
China,22/09/2020,18
China,23/09/2020,10
China,24/09/2020,15
